idx,date_time,proposal_id,target_id,obsid,object,ra,dec,ins,abstract,PI
234,2019-03-11 20:48:37,A06_005,T01,A06_005T01_9000002788,NGC 3201,154.403417,-46.412472,uvit1,"Globular Clusters (GCs) harbour exotic stars such as blue straggler stars (BSS), horizontal branch (HB) and extreme HB (EHB) stars which are found concentrated in the core of the GCs. The HST UV Globular cluster survey (Nardiello et al. 2018) has 56 GC observed in near-UV to optical filters. This treasury lacks FUV coverage, which is necessary to characterise the hot HB stars and BSS population. UVIT has the unique capability to create a complimentary treasury in the Far-UV passbands for the hot stars in the core of each cluster. In this proposal, we propose to image 8 clusters which are not imaged by so far UVIT, to create a FUV added HUGS catalog (see Scientific justification).  The primary science goals are (1) a complete census of hot stars (2) identification of BSS formation pathways and (3) Effect of Helium abundance, age and metallicity on the morphology of the HB.",annapurni
235,2019-03-12 16:19:10,T03_091,T01,T03_091T01_9000002790,Vela X1,135.528583,-40.554692,laxpc2,,
236,2019-03-13 06:23:17,A05_226,T06,A05_226T06_9000002792,KUG1013+381,154.102150,37.912770,uvit1,"Dwarf Wolf-Rayet(WR) galaxies are low-mass systems undergoing a very young ($<10$Myr) star-burst phase with several massive stars with a strong possibility of ongoing tidal interactions or accretion of matter from IGM. Identifying companion galaxies and/or collecting evidences of accretion from IGM will be important to understand evolution of dwarf galaxies. The UV images will trace both young and intermediate age star formation up to the last 100 - 200Myr, providing an advantage over H-alpha images which can trace only the most recent and massive star formation in the last 10 Myr or so. We propose here to observe a sample of dwarf WR galaxies in the NUV/FUV bands on UVIT. The proposed deep UV observations will enable us to image (low surface brightness) star formation in the outer regions and/or in tidal debris and also to constrain star formation history over the past 200 Myr period or so.",aomar
237,2019-03-13 13:16:42,A05_072,T04,A05_072T04_9000002794,NGC 6205,250.445208,36.543611,uvit2,"Recent studies have shown that most of the Globular clusters (GCs) have multiple stellar populations. GCs also harbour exotic stars such as blue straggler stars (BSS, products of stellar collision, merger or mass transfer), horizontal branch (HB) and extreme HB stars which are found more in the core of the GCs. The HST treasury is a goldmine for the GC cores (inner 3 arcmin) in the optical and near-UV wavelengths. UVIT has the unique capability to create a complimentary treasury in the Far and near UV passbands, for not only the core, but also the full cluster. We propose to study selected GCs from the HST treasury survey, that have wide field photometry from ground observations. This UVIT+HST+Ground treasury will be a unique data set, covering the entire cluster in the FUV, NUV and optical passbands. We request for 2 FUV and one NUV pass band observations for 8 clusters.",annapurni
238,2019-03-14 13:45:59,A05_165,T07,A05_165T07_9000002796,SWIFT J1335.8-3416,203.974167,-34.295494,uvit1,"We request multi-wavelength AstroSat observations of Swift/BAT-selected, two type 1 Active Galactic Nuclei (AGN). Using AstroSat and ground-based optical telescopes, we plan to derive simultaneous multi-wavelength spectral energy distributions (SEDs), including the far and near UV grating spectra. AstroSat is the only satellite which can provide such multiwavelength data for AGN. We will use these data to (i) model fit the broad band SEDs (and test current theoretical ideas), (ii) derive bolometric luminosity, accretion rate and bolometric correction factor, (iii) study the connection between the disc emission and the shape of the X-ray continua, and (v) investigate any connection between the disk reflection and the thermal emission from the disc. This is continuous of our earlier programme, and we request a 45 ksec exposure with the UVIT for two targets in this cycle.",jhep
239,2019-03-15 14:24:03,T03_091,T01,T03_091T01_9000002798,Vela X1,135.528583,-40.554692,laxpc2,,
240,2019-03-16 03:25:05,A05_226,T06,A05_226T06_9000002800,KUG1013+381,154.102150,37.912770,uvit1,"Dwarf Wolf-Rayet(WR) galaxies are low-mass systems undergoing a very young ($<10$Myr) star-burst phase with several massive stars with a strong possibility of ongoing tidal interactions or accretion of matter from IGM. Identifying companion galaxies and/or collecting evidences of accretion from IGM will be important to understand evolution of dwarf galaxies. The UV images will trace both young and intermediate age star formation up to the last 100 - 200Myr, providing an advantage over H-alpha images which can trace only the most recent and massive star formation in the last 10 Myr or so. We propose here to observe a sample of dwarf WR galaxies in the NUV/FUV bands on UVIT. The proposed deep UV observations will enable us to image (low surface brightness) star formation in the outer regions and/or in tidal debris and also to constrain star formation history over the past 200 Myr period or so.",aomar
241,2019-03-16 11:15:23,A05_072,T04,A05_072T04_9000002802,NGC 6205,250.445208,36.543611,uvit2,"Recent studies have shown that most of the Globular clusters (GCs) have multiple stellar populations. GCs also harbour exotic stars such as blue straggler stars (BSS, products of stellar collision, merger or mass transfer), horizontal branch (HB) and extreme HB stars which are found more in the core of the GCs. The HST treasury is a goldmine for the GC cores (inner 3 arcmin) in the optical and near-UV wavelengths. UVIT has the unique capability to create a complimentary treasury in the Far and near UV passbands, for not only the core, but also the full cluster. We propose to study selected GCs from the HST treasury survey, that have wide field photometry from ground observations. This UVIT+HST+Ground treasury will be a unique data set, covering the entire cluster in the FUV, NUV and optical passbands. We request for 2 FUV and one NUV pass band observations for 8 clusters.",annapurni
242,2019-03-17 11:40:00,A05_156,T01,A05_156T01_9000002804,Target 1,212.633917,39.819878,uvit1,"We propose to observe in the direction of four holes in the interstellar medium. These regions have low column densities which make them ideal locations to study the diffuse cosmic ultraviolet background radiation as there is less foreground emission from dust scattered starlight.The source of a substantial component of this observed UV background still remains a mystery.From these observations we will be able to estimate the contribution from dust scattering and extragalactic light from resolved sources to the observed background.Requested observations include two holes each in the northern and southern hemisphere which will give an estimate of whether the extragalactic light is of same magnitude in these directions and also allows us to sample integrated light from resolved sources over a larger area.The exposure time proposed is 20,000 seconds for deeper observations with significant SNRs which will aid in the study of different component contributing to the observed UV background.",Akshaya
243,2019-03-18 12:06:34,A05_115,T03,A05_115T03_9000002806,Coma1,195.040167,27.213750,uvit1,"We propose multi-band UVIT imaging of the next three fields in our survey of the Coma cluster, the archetypal massive galaxy cluster in the nearby universe. Although a wealth of UV, optical and IR imaging, as well as optical spectroscopy, exists for the high- and intermediate-mass galaxies in this dense environment, the origin of their NUV emission remains uncertain (i.e., FUV-upturn leakage vs. residual star formation). Our proposed Astrosat A05 observations, which require 43,995 sec (12.2 hrs) of open shutter time, will significantly improve upon the existing constraints, from GALEX, on the UV emission in these galaxies by sampling the UV SEDs in four distinct wavelength regions — FUV-BaF2 (0.135-0.18µm), NUV-Silica (0.2-0.3µm), NUVB13 (0.23-0.26µm) and NUVB4 (0.25-0.28µm) — and by providing a three-fold improvement in the spatial resolution of the UV emission within individual galaxies.",mbalogh
